MJL_CODE,MJL_JOB_POS_TITLE,MJL_JOB_POS_DESCR,MJL_JOB_FAMILY_NAME,MJL_JOB_SUBFAM_NAME,MJL_JOB_SPEC_NAME,MJL_JOB_CARSTRM_NAME,MJL_JOB_CARLVL_NAME,MJL_JOB_CJ_TITLE,MJL_JOB_BROAD_BASE,LIBSPEC_FLAG1,YOUR_TITLE,YOUR_CODE,YOUR_LEVEL,YOUR_GRADE,RPTSTO,POS_CLASS,GEORESP2_GEO_RESP_DESC,BIRTH_YEAR,AGE_NUM,TENURE_NUM,GENDER,CITY_DESCR,REG_DESCR,YOUR_EEID,COMP1,MONTH_BASE,NUM_MONTHS,COMP1_12M,MEAL_ALLOW,TRANS_ALLOW,HSNG_ALLOW,COMP2,STIELIG,BONTPER,BONACT,COMMELIG,COMMTPER,COMMACT,COMP3TGT,COMP3ACT,ORGDATA_ORGOWNDESC_ORG_OWN_DES,ORGDATA_ORGTYPEDESC_ORG_TYPE_D,ORGDATA_SUPER_SECTOR_SS_NAME,ORGDATA_SECTOR_SECT_NAME,ORGDATA_SUBSECT_SUBSECT_NAME,ORGDATA_VOL_REV,ORGDATA_VOL_OPBUD,ORGDATA_NUM_EMP,ORG_INFO_COMPANY_CODE,COUNTRY_NAME
GMA.03.012.P50,Risk Modelling - Expert Professional (P5),"Responsible for risk analysis, identifying risk factors and developing risk management models. Handles risk simulation and predicts risk incidence and the ensuing potential financial loss. Determines the methodology of risk modelling and risk assessment tools. An Expert Professional (P5) is a recognized master in professional discipline typically obtained through advanced education and work experience. Responsibilities typically include: • Establishing operational plans for job area. • Developing and implementing new products, processes, standards or operational plans that will have impact on the achievement of functional results. • Requires communication with leadership.",General Management,Risk Management,Risk Modelling,PROFESSIONAL,Expert Professional (P5),Risk Management - Expert Professional (P5),,,RISK OFFICER,,,,HEAD RISK,55,In-Country,1987,34,0,F,,Region 1,100,74662,5333,14,63996,1584,,,76246,N,,,N,,,76246,76246,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
CCA.02.001.M30,General Communications & Corporate Affairs - Manager (M3),"General Communications & Corporate Affairs includes work managed or performed across multiple Communications & Corporate Affairs sub-families. Specializations in this sub-family typically perform work related to both internal and external communications, including developing the content for and producing written and visual communications. The internal portion of the work is focused on company-wide communications to employees related to organization values/strategy/performance and employee programs, policies, and tools. The external communications portion of the work includes aspects of one or more of the following: •Public Relations •Government Relations •Community Relations/Corporate Responsibility •Investor Relations In some organizations, incumbents may also develop materials for marketing/advertising communications. A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.",Communications & Corporate Affairs,Communications & Corporate Affairs Generalists,General Communications & Corporate Affairs,MANAGEMENT,Manager (M3),Communications & Corporate Affairs Generalists - Manager (M3),1,,HEAD OF COMMUNICATIONS,,,,EB MEMBER,54,In-Country,1970,51,1,F,,Region 1,96,60718,4337,14,52044,1584,,,62302,N,,,N,,,62302,62302,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.03.001.E21,Chief Risk Officer (CRO) - Country Parent/Corporate (E2),"Accountable for all processes and teams that mitigate risk to the organization's processes, operations, and earnings. Risk Management responsibilities include but are not limited to: •Financial Risk •Insurance Risk •Credit Risk •Operational Risk •Project Risk •Market Risk •Technology Risk, including Information Security and/or Cybersecurity Establishes and implements strategies that have mid to long-term (3-5 years) impact on business results in alignment with parent/corporate organization objectives. •Leads multiple teams of lower level executives, directors/senior managers, and managers. •Develops mid to long-term (3-5 years) plans for optimizing the organization, function, or sub-function and the talent required to execute strategies in job area.",General Management,Risk Management,Chief Risk Officer (CRO),EXECUTIVE,Executive Level 2 (E2),Risk Management - Country Parent/Corporate (E2),,,CRO,,,,CEO,62,In-Country,1964,57,10,M,,Region 1,5,139370,9955,14,119460,1584,,,140954,N,,,N,,,140954,140954,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.03.012.M40,Risk Modelling - Senior Manager (M4),"Responsible for risk analysis, identifying risk factors and developing risk management models. Handles risk simulation and predicts risk incidence and the ensuing potential financial loss. Determines the methodology of risk modelling and risk assessment tools. A Senior Manager (M4) typically manages a department or small unit that includes multiple teams led by Managers and/or Team Leaders. Responsibilities typically include: • Ownership of short to mid-term (1-3 years) execution of functional strategy and the operational direction of the Department. • Problems faced are often complex and require extensive investigation and analysis. • Requires ability to influence others to accept practices and approaches, and ability to communicate and influence executive leadership.",General Management,Risk Management,Risk Modelling,MANAGEMENT,Senior Manager (M4),Risk Management - Senior Manager (M4),,,HEAD RISK,,,,CRO,55,In-Country,1975,46,7,M,,Region 1,39,99554,7111,14,85332,1584,,,101138,N,,,N,,,101138,101138,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.02.006.E10,Business Operations Strategy & Planning - Sub-function Executive 1 (E1),"Responsible for strategy and planning to align business operations with the company's mission and goals. Researches and analyzes industry and competitive trends to identify emerging market opportunities and strategic areas of interest. Identifies and prioritizes product and service improvement opportunities and creates plans for implementation. Develops complex forecasting models, budgets, resource allocation and plans for projects. Utilizes comprehensive knowledge of company's internal operations to develop forward-looking focus for business. Establishes and implements strategies that have short to mid-term (1-3 years) impact on business results in alignment with parent/corporate organization objectives. •Leads multiple teams of directors/senior managers, and managers. •Develops short to mid-term (1-3 years) plans for optimizing the organization, function, or sub-function and the talent required to execute strategies in job area.",General Management,Business Strategy & Planning,Business Operations Strategy & Planning,EXECUTIVE,Executive Level 1 (E1),Business Strategy & Planning - Sub-function Executive 1 (E1),0,,Director (PM HEAD),,,,CEO,58,In-Country,1972,49,3,M,,Region 1,79,119462,8533,14,102396,1584,,,121046,N,,,N,,,121046,121046,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
FIN.08.005.E10,Investment Opportunity Management - Sub-function Executive 1 (E1),"Responsible for identifying, analyzing and negotiating investment opportunities according to organization’s investment strategy. Finds and collects information and does due diligence of possible investment opportunities and partnerships for the organization. Evaluates the business and the strategic value/synergies of the proposed investment. Creates financial models, does Return on Investment (ROI) analysis, and prepares recommendation reports for the management. Leads the negotiation process to finalize the deal structure and terms. Establishes and implements strategies that have short to mid-term (1-3 years) impact on business results in alignment with parent/corporate organization objectives. •Leads multiple teams of directors/senior managers, and managers. •Develops short to mid-term (1-3 years) plans for optimizing the organization, function, or sub-function and the talent required to execute strategies in job area.",Finance,Treasury,Investment Opportunity Management,EXECUTIVE,Executive Level 1 (E1),Treasury - Sub-function Executive 1 (E1),,,CIO,,,,CEO,58,In-Country,1979,42,7,M,,Region 1,32,129990,9285,14,111420,1584,,,131574,N,,,N,,,131574,131574,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
FIN.08.005.M30,Investment Opportunity Management - Manager (M3),"Responsible for identifying, analyzing and negotiating investment opportunities according to organization’s investment strategy. Finds and collects information and does due diligence of possible investment opportunities and partnerships for the organization. Evaluates the business and the strategic value/synergies of the proposed investment. Creates financial models, does Return on Investment (ROI) analysis, and prepares recommendation reports for the management. Leads the negotiation process to finalize the deal structure and terms. A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.",Finance,Treasury,Investment Opportunity Management,MANAGEMENT,Manager (M3),Treasury - Manager (M3),,,HEAD,,,,CIO,54,In-Country,1980,41,2,M,,Region 1,86,89600,6400,14,76800,1584,,,91184,N,,,N,,,91184,91184,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
FIN.08.005.M30,Investment Opportunity Management - Manager (M3),"Responsible for identifying, analyzing and negotiating investment opportunities according to organization’s investment strategy. Finds and collects information and does due diligence of possible investment opportunities and partnerships for the organization. Evaluates the business and the strategic value/synergies of the proposed investment. Creates financial models, does Return on Investment (ROI) analysis, and prepares recommendation reports for the management. Leads the negotiation process to finalize the deal structure and terms. A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.",Finance,Treasury,Investment Opportunity Management,MANAGEMENT,Manager (M3),Treasury - Manager (M3),,,HEAD,,,,CIO,54,In-Country,1976,45,7,F,,Region 1,38,79996,5714,14,68568,1584,,,81580,N,,,N,,,81580,81580,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
FIN.08.005.M30,Investment Opportunity Management - Manager (M3),"Responsible for identifying, analyzing and negotiating investment opportunities according to organization’s investment strategy. Finds and collects information and does due diligence of possible investment opportunities and partnerships for the organization. Evaluates the business and the strategic value/synergies of the proposed investment. Creates financial models, does Return on Investment (ROI) analysis, and prepares recommendation reports for the management. Leads the negotiation process to finalize the deal structure and terms. A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.",Finance,Treasury,Investment Opportunity Management,MANAGEMENT,Manager (M3),Treasury - Manager (M3),,,HEAD,,,,CIO,54,In-Country,1979,42,7,M,,Region 1,34,84616,6044,14,72528,1584,,,86200,N,,,N,,,86200,86200,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.03.012.P50,Risk Modelling - Expert Professional (P5),"Responsible for risk analysis, identifying risk factors and developing risk management models. Handles risk simulation and predicts risk incidence and the ensuing potential financial loss. Determines the methodology of risk modelling and risk assessment tools. An Expert Professional (P5) is a recognized master in professional discipline typically obtained through advanced education and work experience. Responsibilities typically include: • Establishing operational plans for job area. • Developing and implementing new products, processes, standards or operational plans that will have impact on the achievement of functional results. • Requires communication with leadership.",General Management,Risk Management,Risk Modelling,PROFESSIONAL,Expert Professional (P5),Risk Management - Expert Professional (P5),,,RISK OFFICER,,,,HEAD RISK,55,In-Country,1981,40,0,M,,Region 1,97,69678,4977,14,59724,1584,,,71262,N,,,N,,,71262,71262,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.03.012.P50,Risk Modelling - Expert Professional (P5),"Responsible for risk analysis, identifying risk factors and developing risk management models. Handles risk simulation and predicts risk incidence and the ensuing potential financial loss. Determines the methodology of risk modelling and risk assessment tools. An Expert Professional (P5) is a recognized master in professional discipline typically obtained through advanced education and work experience. Responsibilities typically include: • Establishing operational plans for job area. • Developing and implementing new products, processes, standards or operational plans that will have impact on the achievement of functional results. • Requires communication with leadership.",General Management,Risk Management,Risk Modelling,PROFESSIONAL,Expert Professional (P5),Risk Management - Expert Professional (P5),,,RISK OFFICER,,,,HEAD RISK,55,In-Country,1980,41,6,F,,Region 1,43,60718,4337,14,52044,1584,,,62302,N,,,N,,,62302,62302,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.03.012.P50,Risk Modelling - Expert Professional (P5),"Responsible for risk analysis, identifying risk factors and developing risk management models. Handles risk simulation and predicts risk incidence and the ensuing potential financial loss. Determines the methodology of risk modelling and risk assessment tools. An Expert Professional (P5) is a recognized master in professional discipline typically obtained through advanced education and work experience. Responsibilities typically include: • Establishing operational plans for job area. • Developing and implementing new products, processes, standards or operational plans that will have impact on the achievement of functional results. • Requires communication with leadership.",General Management,Risk Management,Risk Modelling,PROFESSIONAL,Expert Professional (P5),Risk Management - Expert Professional (P5),,,RISK OFFICER,,,,HEAD RISK,55,In-Country,1965,56,3,F,,Region 1,75,60998,4357,14,52284,1584,,,62582,N,,,N,,,62582,62582,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
HRM.02.001.M30,General Human Resources - Manager (M3),"General Human Resources includes work across multiple areas of HR including: •General HR program/policy development, administration, and compliance •Employee hiring, onboarding, termination, and records maintenance •Employee and labor relations and communications •Rewards program coordination and/or administration •Relocation services (domestic and international) •Immigration services •HR related training In some organizations, General HR may also be accountable for some or all of the following: •HR Business Partnership (consulting and coaching) •Mobility (strategy and design) •Staffing and Recruiting •Talent and Organization Performance •Training and Development •Human Resource Information Systems (HRIS) A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.",Human Resources,Human Resources Generalists,General Human Resources,MANAGEMENT,Manager (M3),Human Resources Generalists - Manager (M3),1,,HR HEAD,,,,CEO,53,In-Country,1976,45,1,F,,Region 1,95,74662,5333,14,63996,1584,,,76246,N,,,N,,,76246,76246,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
FIN.06.001.P30,Accounting - Senior Professional (P3),"Accounting includes work across multiple areas of Accounting including: •Ensuring compliance with financial transaction recording standards (e.g., general ledger, cash payments/collections, tax transactions, etc.) •Control/reconciliation of accounts and records (balance sheet, P&L, bank accounts, etc.) •Accounting reports/schedules for internal audiences (management reporting) and/or for external audiences (compliance reporting) including consolidation of financial statements, cash flow reporting, budget reporting, etc.) In some organizations, Accounting work may also include: •Cost accounting/budgeting (allocation of direct/indirect costs, variance analysis, budget preparation, etc.) •Accounts Payable/Receivable and/or Credit & Collections A Senior Professional (P3) applies advanced knowledge of job area typically obtained through advanced education and work experience. Responsibilities typically include: • Managing projects / processes, working independently with limited supervision. • Coaching and reviewing the work of lower level professionals. • Problems faced are difficult and sometimes complex.",Finance,Accounting,Accounting,PROFESSIONAL,Senior Professional (P3),Accounting - Senior Professional (P3),1,,OFFICER,,,,CFO,50,In-Country,1985,36,4,M,,Region 1,70,33838,2417,14,29004,1584,,,35422,N,,,N,,,35422,35422,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
